transactionId,date,region,salesperson,productCategory,quantity,unitPrice,totalAmount
TXN0030,2024-03-28,NORTH,Alice Nguyen,TOYS,2,32.59,65.18
TXN0036,2024-03-29,WEST,Hector Alvarez,APPAREL,5,147.31,736.55
TXN0034,2024-03-30,WEST,Hector Alvarez,FURNITURE,12,292.20,3506.40
TXN9003,2024-03-30,EAST,Elena Rossi,GROCERY,4,$18.25,73.00
TXN0044,2024-03-30,NORTH,Alice Nguyen,GROCERY,8,34.70,277.60
TXN0031,2024-03-31,SOUTH,Dmitri Volkov,GROCERY,10,22.82,228.20
TXN0046,2024-04-02,SOUTH,Dmitri Volkov,ELECTRONICS,10,246.10,2461.00
TXN0047,2024-04-04,WEST,Hector Alvarez,TOYS,1,38.35,38.35
TXN0053,2024-04-09,EAST,Farhan Iqbal,APPAREL,6,59.48,356.88
TXN0050,2024-04-10,WEST,Grace Lindqvist,FURNITURE,8,597.20,4777.60
TXN0055,2024-04-10,EAST,Farhan Iqbal,GROCERY,8,34.16,273.28
TXN0045,2024-04-11,NORTH,Alice Nguyen,APPAREL,6,147.51,885.06
TXN0051,2024-04-17,WEST,Hector Alvarez,FURNITURE,5,227.97,1139.85
TXN0052,2024-04-17,EAST,Farhan Iqbal,TOYS,8,117.95,943.60
TXN0060,2024-04-17,WEST,Grace Lindqvist,FURNITURE,1,567.59,567.59
TXN0058,2024-04-18,WEST,Hector Alvarez,ELECTRONICS,2,347.60,695.20
TXN0049,2024-04-19,WEST,Grace Lindqvist,ELECTRONICS,1,468.47,468.47
TXN0048,2024-04-20,SOUTH,Dmitri Volkov,GROCERY,8,32.57,260.56
TXN0054,2024-04-24,EAST,Elena Rossi,FURNITURE,10,89.76,897.60
TXN0057,2024-04-24,EAST,Elena Rossi,FURNITURE,3,752.72,2258.16
TXN9004,15/04/2024,WEST,Hector Alvarez,FURNITURE,2,240.00,480.00
TXN0056,2024-04-25,WEST,Grace Lindqvist,TOYS,12,103.62,1243.44
TXN0059,2024-04-29,EAST,Farhan Iqbal,FURNITURE,6,858.22,5149.32
TXN0062,2024-05-02,WEST,Hector Alvarez,APPAREL,1,97.34,97.34
TXN0068,2024-05-03,WEST,Grace Lindqvist,TOYS,8,94.56,756.48
TXN0078,2024-05-03,SOUTH,Carla Mendes,APPAREL,12,130.97,1571.64
TXN0079,2024-05-03,EAST,Farhan Iqbal,FURNITURE,1,416.37,416.37
TXN0061,2024-05-04,NORTH,Brian Okafor,TOYS,1,112.78,112.78
TXN0069,2024-05-04,WEST,Hector Alvarez,TOYS,2,24.92,49.84
TXN0077,2024-05-04,NORTH,Brian Okafor,ELECTRONICS,1,372.36,372.36
TXN0073,2024-05-07,EAST,Elena Rossi,GROCERY,10,10.89,108.90
TXN0072,2024-05-09,SOUTH,Carla Mendes,FURNITURE,1,314.35,314.35
TXN0065,2024-05-10,EAST,Elena Rossi,APPAREL,8,90.58,724.64
TXN0067,2024-05-16,SOUTH,Carla Mendes,APPAREL,2,45.76,91.52
TXN0076,2024-05-16,EAST,Farhan Iqbal,TOYS,4,27.52,110.08
TXN0075,2024-05-17,NORTH,Brian Okafor,GROCERY,4,35.31,141.24
TXN0066,2024-05-19,WEST,Grace Lindqvist,ELECTRONICS,5,611.12,3055.60
TXN9005,2024-05-19,NORTH,Brian Okafor,TOYS,,49.99,
TXN0080,2024-05-19,EAST,Elena Rossi,ELECTRONICS,4,1159.52,4638.08
TXN0070,2024-05-23,EAST,Farhan Iqbal,GROCERY,10,38.44,384.40
TXN0074,2024-05-25,SOUTH,Dmitri Volkov,APPAREL,12,66.01,792.12
TXN0063,2024-05-28,EAST,Farhan Iqbal,ELECTRONICS,2,1237.55,2475.10
TXN0064,2024-05-29,EAST,Farhan Iqbal,TOYS,5,27.87,139.35
TXN0071,2024-05-31,WEST,Hector Alvarez,FURNITURE,1,572.52,572.52
TXN0087,2024-06-03,WEST,Grace Lindqvist,TOYS,4,16.23,64.92
TXN0082,2024-06-07,NORTH,Brian Okafor,GROCERY,6,13.69,82.14
TXN0090,2024-06-09,EAST,Farhan Iqbal,TOYS,2,111.98,223.96
TXN0083,2024-06-13,NORTH,Brian Okafor,FURNITURE,12,886.88,10642.56
TXN0084,2024-06-13,WEST,Grace Lindqvist,TOYS,2,96.75,193.50
TXN0086,2024-06-14,WEST,Grace Lindqvist,TOYS,4,99.83,399.32
TXN0092,2024-06-16,EAST,Farhan Iqbal,TOYS,5,14.35,71.75
TXN9006,2024-06-16,SOUTH,Dmitri Volkov,ELECTRONICS,1,610.00,610.00,EXTRA
TXN0093,2024-06-16,NORTH,Brian Okafor,ELECTRONICS,2,1262.78,2525.56
TXN0081,2024-06-17,EAST,Elena Rossi,FURNITURE,6,653.13,3918.78
TXN0085,2024-06-17,SOUTH,Dmitri Volkov,ELECTRONICS,4,1282.21,5128.84
TXN0089,2024-06-20,SOUTH,Carla Mendes,GROCERY,8,18.65,149.20
TXN0088,2024-06-24,NORTH,Brian Okafor,FURNITURE,1,367.08,367.08
TXN0091,2024-06-30,WEST,Hector Alvarez,TOYS,6,79.80,478.80
